freq_offset,coarse_frequency_estimate,wrapped_residual_frequency,phase_only_tracked_rms_error,freq_acquired_tracked_rms_error,phase_only_symbol_error_rate,freq_acquired_symbol_error_rate
-1.000000,0.571280,-1.571280,0.459943,0.057077,0.666667,0.750000
-0.950000,0.620888,-1.570888,0.474629,0.057109,0.748611,0.750000
-0.900000,0.671260,-1.571260,0.433014,0.057345,0.747222,0.750000
-0.850000,0.720758,-1.570758,0.426435,0.057425,0.750000,0.750000
-0.800000,0.771213,-1.571213,0.425318,0.057176,0.750000,0.750000
-0.750000,-0.750339,0.000339,0.424629,0.057356,0.750000,0.000000
-0.700000,-0.699525,-0.000475,0.426709,0.057236,0.750000,0.000000
-0.650000,-0.649888,-0.000112,0.449237,0.057409,0.745833,0.000000
-0.600000,-0.599414,-0.000586,0.464267,0.057248,0.744444,0.000000
-0.550000,-0.550307,0.000307,0.458329,0.057390,0.750000,0.000000
-0.500000,-0.499811,-0.000189,0.460604,0.057360,0.750000,0.000000
-0.450000,-0.450411,0.000411,0.470699,0.057415,0.747222,0.000000
-0.400000,-0.399605,-0.000395,0.469222,0.057430,0.748611,0.000000
-0.350000,-0.350257,0.000257,0.276060,0.057523,0.176389,0.000000
-0.300000,-0.299395,-0.000605,0.206069,0.057451,0.083333,0.000000
-0.250000,-0.250355,0.000355,0.058630,0.057518,0.000000,0.000000
-0.200000,-0.199739,-0.000261,0.057298,0.057296,0.000000,0.000000
-0.150000,-0.150204,0.000204,0.057280,0.057280,0.000000,0.000000
-0.100000,-0.099578,-0.000422,0.057500,0.057500,0.000000,0.000000
-0.050000,-0.050492,0.000492,0.057387,0.057387,0.000000,0.000000
0.000000,0.000099,-0.000099,0.057357,0.057357,0.000000,0.000000
0.050000,0.049454,0.000546,0.057406,0.057406,0.000000,0.000000
0.100000,0.100246,-0.000246,0.057232,0.057232,0.000000,0.000000
0.150000,0.149334,0.000666,0.057026,0.057025,0.000000,0.000000
0.200000,0.200188,-0.000188,0.057282,0.057284,0.000000,0.000000
0.250000,0.249814,0.000186,0.081908,0.057151,0.000000,0.000000
0.300000,0.300068,-0.000068,0.234706,0.057359,0.129167,0.000000
0.350000,0.349319,0.000681,0.278008,0.056972,0.188889,0.000000
0.400000,0.400281,-0.000281,0.468638,0.057177,0.750000,0.000000
0.450000,0.449732,0.000268,0.473442,0.057159,0.747222,0.000000
0.500000,0.500179,-0.000179,0.458945,0.057242,0.750000,0.000000
0.550000,0.549525,0.000475,0.458708,0.057066,0.750000,0.000000
0.600000,0.599704,0.000296,0.468844,0.056892,0.747222,0.000000
0.650000,0.649188,0.000812,0.475693,0.057101,0.725000,0.000000
0.700000,0.699530,0.000470,0.425837,0.057209,0.750000,0.000000
0.750000,0.749728,0.000272,0.428615,0.057292,0.750000,0.000000
0.800000,-0.770976,1.570976,0.425469,0.057137,0.750000,0.750000
0.850000,-0.721539,1.571539,0.427451,0.057129,0.750000,0.750000
0.900000,-0.670901,1.570901,0.461743,0.057086,0.744444,0.750000
0.950000,-0.621546,1.571546,0.474175,0.056940,0.750000,0.750000
1.000000,-0.571252,1.571252,0.459209,0.057071,0.666667,0.750000
