coarse_prefix,noise_std,mean_abs_coarse_frequency_error,mean_coarse_rms_error,mean_tracked_rms_error
8,0.02,0.00309576,0.38632293,0.02901957
12,0.02,0.00150592,0.35061812,0.02901957
16,0.02,0.00146849,0.43929581,0.02901957
24,0.02,0.00090011,0.34885672,0.02901957
32,0.02,0.00060857,0.32222013,0.02901957
48,0.02,0.00034133,0.19141330,0.02901957
64,0.02,0.00037381,0.20661972,0.02901957
96,0.02,0.00022587,0.12646955,0.02901957
128,0.02,0.00022690,0.12233353,0.02901957
8,0.04,0.00670128,0.43351031,0.05803891
12,0.04,0.00340667,0.43725891,0.05803891
16,0.04,0.00330282,0.44841965,0.05803891
24,0.04,0.00206231,0.42633374,0.05803891
32,0.04,0.00148441,0.40664363,0.05803891
48,0.04,0.00097396,0.34594714,0.05803891
64,0.04,0.00110742,0.39371302,0.05803891
96,0.04,0.00068712,0.30267017,0.05803891
128,0.04,0.00066891,0.30333081,0.05803891
8,0.06,0.01119616,0.43883326,0.08705807
12,0.06,0.00591767,0.45410810,0.08705807
16,0.06,0.00589517,0.46596394,0.08705807
24,0.06,0.00378375,0.44188897,0.08705807
32,0.06,0.00279384,0.41280955,0.08705807
48,0.06,0.00218513,0.45179200,0.08705807
64,0.06,0.00241034,0.44475697,0.08705807
96,0.06,0.00149997,0.40730437,0.08705807
128,0.06,0.00142803,0.39599245,0.08705807
8,0.08,0.01675352,0.46191616,0.11607713
12,0.08,0.00945338,0.45189511,0.11607712
16,0.08,0.00931554,0.45951275,0.11607712
24,0.08,0.00622751,0.45643670,0.11607712
32,0.08,0.00473707,0.42641830,0.11607712
48,0.08,0.00393087,0.43165265,0.11607712
64,0.08,0.00433183,0.42773498,0.11607712
96,0.08,0.00272198,0.43201240,0.11607713
128,0.08,0.00255622,0.43710179,0.11607713
8,0.10,0.02399372,0.46172028,0.14509613
12,0.10,0.01488812,0.45689331,0.14509613
16,0.10,0.01406885,0.46359532,0.14509613
24,0.10,0.00956236,0.44865459,0.14509613
32,0.10,0.00743926,0.45004911,0.14509613
48,0.10,0.00640025,0.45331179,0.14509613
64,0.10,0.00701494,0.43884406,0.14509613
96,0.10,0.00441079,0.47785233,0.14509613
128,0.10,0.00411252,0.44598364,0.14509613
